red_fighter_name,blue_fighter_name,event_date,red_fighter_result,blue_fighter_result,fight_outcome,method,round,time,bout_type,event_name,event_location,source_url,source_title
Jan Nortje,Bob Sapp,2008-02-23,W,L,red_win,TKO (punches),1,0:55,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Jorge Masvidal,Ryan Healy,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Lightweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Cory Devela,Joe Riggs,2008-02-23,W,L,red_win,TKO (Submission to slam),1,1:22,Middleweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Maurice Smith,Rick Roufus,2008-02-23,W,L,red_win,Submission (kimura),1,1:53,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Eddy Ellis,Steve Berger,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Mychal Clark,Josh Bennett,2008-02-23,W,L,red_win,TKO (swollen eye),2,5:00,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Lyle Beerbohm,Ray Perales,2008-02-23,W,L,red_win,Submission (guillotine choke),3,1:19,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Mike Hayes,Matt Kovacs,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Zack Skinner,Scott Shaffer,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Featherweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Nathan Coy,Dave Courchaine,2008-02-23,W,L,red_win,KO (punch),1,1:46,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Trevor Prangley,Anthony Ruiz,2008-09-20,W,L,red_win,"Decision (unanimous) (29–28, 30–27, 30–26)",3,5:00,Light Heavyweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Mitsuhiro Ishida,Justin Wilcox,2008-09-20,W,L,red_win,Submission (armbar),1,1:21,Lightweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Terry Martin,Cory Devela,2008-09-20,W,L,red_win,TKO (strikes),3,2:08,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Josh Thomson,Ashe Bowman,2008-09-20,W,L,red_win,TKO (punches),1,1:14,Lightweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Kazuo Misaki,Joe Riggs,2008-09-20,W,L,red_win,TKO (punches),2,2:29,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Luke Stewart,Jesse Juarez,2008-09-20,W,L,red_win,Submission (armbar),1,4:55,Welterweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Eric Lawson,Kenneth Seegrist,2008-09-20,W,L,red_win,Submission (rear-naked choke),1,3:07,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Brandon Magana,Brandon Thatch,2008-09-20,W,L,red_win,"Decision (split) (29–28, 28–29, 29–28)",3,3:00,Welterweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Jesse Gillespie,Dave Martin,2008-09-20,W,L,red_win,"Decision (split) (27–30, 29–28, 29–28)",3,3:00 [ 1 ],Catchweight (195 lb) Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Daniel Cormier,Josh Barnett,2012-05-19,W,L,red_win,"Decision (unanimous) (49–46, 50–45, 50–45)",5,5:00,Heavyweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Gilbert Melendez,Josh Thomson,2012-05-19,W,L,red_win,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,Lightweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
