fighter_name,instagram_handle,verified_by,notes
Ailin Perez,ailinperezufc,public-search,auto target: top10 women Bantamweight #3; score 120.0
Alex Pereira,alexpoatanpereira,public-search,auto target: champion men Light Heavyweight; top10 men Light Heavyweight #2; score 120.0
Alexa Grasso,alexa_grasso,public-search,auto target: top10 women Flyweight #7; score 120.0
Alexander Volkanovski,alexvolkanovski,public-search,auto target: champion men Featherweight; top10 men Featherweight #1; score 120.0
Alexander Volkov,volkov_alex,public-search,auto target: top10 men Heavyweight #4; score 120.0
Alexandre Pantoja,pantoja_oficial,public-search,auto target: top10 men Flyweight #1; score 120.0
Aljamain Sterling,funkmastermma,public-search,auto target: top10 men Bantamweight #1; top10 men Featherweight #4; score 120.0
Amanda Nunes,amanda_leoa,public-search,auto target: champion women Featherweight; top10 women Bantamweight #1; top10 women Featherweight #1; score 120.0
Andre Lima,andrelimaofficial,public-search,auto target: top10 men Flyweight #10; score 120.0
Angela Hill,angieoverkill,public-search,auto target: top10 men Strawweight #1; score 120.0
Anthony Hernandez,ilovebamf,public-search,auto target: top10 men Middleweight #10; score 120.0
Arman Tsarukyan,arm_011,public-search,auto target: top10 men Lightweight #4; score 120.0
Arnold Allen,arnoldbfa,public-search,auto target: top10 men Featherweight #8; score 120.0
Aspen Ladd,aspenladd,public-search,auto target: top10 women Featherweight #10; score 120.0
Asu Almabayev,asu_almabayev,public-search,auto target: top10 men Flyweight #7; score 120.0
Azamat Murzakanov,murzakanovazamat,public-search,auto target: top10 men Light Heavyweight #8; score 120.0
Belal Muhammad,bullyb170,public-search,auto target: top10 men Welterweight #3; score 120.0
Beneil Dariush,beneildariush,public-search,auto target: top10 men Lightweight #7; score 120.0
Benoit Saint Denis,benoitst_denis,public-search,auto target: top10 men Lightweight #9; score 165.0
Brandon Moreno,theassassinbaby,public-search,auto target: top10 men Flyweight #8; score 120.0
Brendan Allen,B_Allen185,public-search,auto target: top10 men Middleweight #4; score 120.0
Caio Borralho,caioborralho,public-search,auto target: top10 men Middleweight #7; score 120.0
Carla Esparza,carlaesparza1,public-search,auto target: top10 women Strawweight #9; score 120.0
Carlos Ulberg,carlosulberg,public-search,auto target: top10 men Light Heavyweight #4; score 120.0
Charles Oliveira,charles.oliveira,public-search,auto target: top10 men Lightweight #2; score 116.0
Ciryl Gane,ciryl_gane,public-search,auto target: top10 men Heavyweight #2; score 120.0
Colby Covington,colbycovington,public-search,auto target: top10 men Welterweight #10; score 120.0
Cory Sandhagen,corysandhagenmma,public-search,auto target: top10 men Bantamweight #6; score 120.0
Cristiane Justino,cristiane_justino_,public-search,auto target: top10 men Catch Weight #1; top10 women Featherweight #8; score 120.0
Curtis Blaydes,razorblaydes265,public-search,auto target: top10 men Heavyweight #8; score 120.0
Dan Severn,dan.thebeast.severn,public-search,auto target: top10 men Open Weight #3; top10 men Unknown #3; score 120.0
David Abbott,davidabbott_,public-search,auto target: top10 men Open Weight #7; score 120.0
Deiveson Figueiredo,Daico_DeusDaGuerra,public-search,auto target: top10 men Bantamweight #8; top10 men Flyweight #9; score 120.0
Denise Gomes,_denisegoomes,public-search,auto target: top10 women Strawweight #7; score 120.0
Derrick Lewis,derricklewis_,public-search,auto target: top10 men Heavyweight #10; score 116.0
Dominick Reyes,DomReyes24,public-search,auto target: top10 men Light Heavyweight #6; score 120.0
Don Frye,donthepredatorfrye,public-search,auto target: top10 men Open Weight #1; top10 men Unknown #9; score 120.0
Dricus Du Plessis,dricusduplessis,public-search,auto target: top10 men Middleweight #1; score 120.0
Dustin Jacoby,thehanyakdj,public-search,auto target: top10 men Light Heavyweight #10; score 120.0
Dustin Poirier,DustinPoirier,public-search,auto target: top10 men Lightweight #5; score 120.0
Eduarda Moura,eduardaronda_ufc,public-search,auto target: top10 men Strawweight #4; score 120.0
Emily Ducote,emducote1,public-search,auto target: top10 men Strawweight #3; score 120.0
Erin Blanchfield,blanchfield_mma,public-search,auto target: top10 women Flyweight #3; score 120.0
Francis Ngannou,francisngannou,public-search,auto target: top10 men Heavyweight #7; score 120.0
Germaine De Randamie,ironladymma,public-search,auto target: top10 women Featherweight #9; score 120.0
Gillian Robertson,savage_ufc,public-search,auto target: top10 women Strawweight #3; score 120.0
Glover Teixeira,gloverteixeira,public-search,auto target: top10 men Light Heavyweight #7; score 120.0
Grant Dawson,grantdawsonkgd,public-search,auto target: top10 men Lightweight #10; score 120.0
Gregory Rodrigues,gregoryrodriguesmma,public-search,auto target: top10 men Middleweight #6; score 120.0
Ian Machado Garry,iangarry,public-search,auto target: top10 men Welterweight #5; score 165.0
Ilia Topuria,iliatopuria,public-search,auto target: champion men Lightweight; top10 men Featherweight #5; score 120.0
Islam Makhachev,islam_makhachev,public-search,auto target: champion men Welterweight; top10 men Lightweight #1; top10 men Welterweight #1; score 120.0
Israel Adesanya,stylebender,public-search,auto target: top10 men Middleweight #8; score 120.0
Jack Della Maddalena,jackdellamaddalena,public-search,auto target: top10 men Welterweight #7; score 165.0
Jacqueline Cavalcanti,jacqueline.cavalcanti,public-search,auto target: top10 women Bantamweight #5; score 120.0
Jan Blachowicz,janblachowicz,public-search,auto target: top10 men Light Heavyweight #5; score 120.0
Jasmine Jasudavicius,jasminejasudavicius,public-search,auto target: top10 women Flyweight #9; score 120.0
Jessica Andrade,jessicammapro,public-search,auto target: top10 women Strawweight #8; score 120.0
Jiri Prochazka,jiriprochazka_,public-search,auto target: top10 men Light Heavyweight #9; score 124.0
Jon Jones,jonnybones,manual,Example only; verified manual file is final authority for Instagram links.
Joselyne Edwards,Joselyne_edwards,public-search,auto target: top10 women Bantamweight #10; score 120.0
Joshua Van,thefearlessmma1,public-search,auto target: champion men Flyweight; top10 men Flyweight #2; score 120.0
Josiane Nunes,josianenunes.oficial,public-search,auto target: top10 women Featherweight #6; score 120.0
Julianna Pena,julianna.pena,public-search,auto target: top10 women Bantamweight #4; score 124.0
Justin Gaethje,justin_gaethje,public-search,auto target: top10 men Lightweight #6; score 120.0
Kamaru Usman,usman84kg,public-search,auto target: top10 men Middleweight #3; top10 men Welterweight #2; score 120.0
Karol Rosa,karolrosaoficial,public-search,auto target: top10 women Featherweight #4; score 120.0
Kayla Harrison,kaylaharrisonofficial,public-search,auto target: champion women Bantamweight; top10 women Bantamweight #7; score 120.0
Ken Shamrock,kenshamrockofficial,public-search,auto target: top10 men Open Weight #9; top10 men Unknown #2; score 120.0
Ketlen Vieira,ketlenvieirah,public-search,auto target: top10 women Featherweight #2; score 120.0
Khabib Nurmagomedov,khabib_nurmagomedov,public-search,auto target: top10 men Lightweight #8; score 120.0
Khamzat Chimaev,khamzat_chimaev,public-search,auto target: champion men Middleweight; score 120.0
Kyoji Horiguchi,kyoji1012,public-search,auto target: top10 men Flyweight #3; score 120.0
Leon Edwards,leonedwardsmma,public-search,auto target: top10 men Welterweight #4; score 120.0
Lerone Murphy,lerone145,public-search,auto target: top10 men Featherweight #6; score 120.0
Loopy Godinez,loopygodinez,public-search,auto target: top10 men Strawweight #2; top10 women Strawweight #10; score 120.0
Luana Santos,luanasantosmma,public-search,auto target: top10 women Bantamweight #6; score 120.0
Mackenzie Dern,mackenziedern,public-search,auto target: champion women Strawweight; top10 women Strawweight #5; score 120.0
Macy Chiasson,macychiasson,public-search,auto target: top10 women Featherweight #7; score 120.0
Magomed Ankalaev,ankalaev_magomed,public-search,auto target: top10 men Light Heavyweight #3; score 120.0
Manel Kape,manelkape,public-search,auto target: top10 men Flyweight #6; score 120.0
Manon Fiorot,manonfiorot_mma,public-search,auto target: top10 women Flyweight #4; score 120.0
Marco Ruas,marco.ruasofficial,public-search,auto target: top10 men Open Weight #8; top10 men Unknown #5; score 120.0
Mario Bautista,mariobautista,public-search,auto target: top10 men Bantamweight #5; score 120.0
Mark Coleman,officialmarkcoleman,public-search,auto target: top10 men Open Weight #4; top10 men Unknown #7; score 120.0
Max Holloway,blessedmma,public-search,auto target: top10 men Featherweight #2; top10 men Lightweight #3; score 120.0
Maycee Barber,mayceebarber,public-search,auto target: top10 women Flyweight #6; score 120.0
Merab Dvalishvili,merab.dvalishvili,public-search,auto target: top10 men Bantamweight #2; score 120.0
Michael Chiesa,mikemav22,public-search,auto target: top10 men Welterweight #9; score 120.0
Michael Morales,miichaelufc,public-search,auto target: top10 men Welterweight #8; score 120.0
Miranda Maverick,fearthemaverick,public-search,auto target: top10 women Flyweight #10; score 120.0
Montel Jackson,MontelQuikJackson,public-search,auto target: top10 men Bantamweight #10; score 120.0
Movsar Evloev,movsar_evloev_94,public-search,auto target: top10 men Featherweight #3; score 120.0
Muhammad Mokaev,mokaev_muhammad,public-search,auto target: top10 men Flyweight #5; score 120.0
Nassourdine Imavov,imavov_nassourdine,public-search,auto target: top10 men Middleweight #2; score 120.0
Natalia Silva,nataliasilvaufc,public-search,auto target: top10 women Flyweight #2; score 120.0
Nathaniel Wood,nathanielwood,public-search,auto target: top10 men Featherweight #9; score 120.0
Norma Dumont,norma_dumont_mma,public-search,auto target: top10 women Bantamweight #9; top10 women Featherweight #3; score 120.0
Oleg Taktarov,olegtaktarov_official,public-search,auto target: top10 men Open Weight #5; top10 men Unknown #4; score 120.0
Patrick Smith,patricksmithphotos,public-search,auto target: top10 men Open Weight #6; top10 men Unknown #6; score 120.0
Paul Varelans,paulvarelans,public-search,auto target: top10 men Open Weight #10; score 120.0
Petr Yan,petr_yan,public-search,auto target: champion men Bantamweight; top10 men Bantamweight #3; score 120.0
Raquel Pennington,raquel_pennington,public-search,auto target: top10 women Bantamweight #2; top10 women Featherweight #5; score 120.0
Robert Whittaker,robwhittakermma,public-search,auto target: top10 men Middleweight #5; score 120.0
Rose Namajunas,rosenamajunas,public-search,auto target: top10 women Flyweight #8; score 120.0
Royce Gracie,realroyce,public-search,auto target: top10 men Open Weight #2; top10 men Unknown #1; score 120.0
Sean O'Malley,sugasean,public-search,auto target: top10 men Bantamweight #4; score 120.0
Sean Strickland,stricklandmma,public-search,auto target: top10 men Middleweight #9; score 120.0
Sergei Pavlovich,sergei__pavlovich,public-search,auto target: top10 men Heavyweight #9; score 120.0
Shavkat Rakhmonov,shavkatrakhmonov94,public-search,auto target: top10 men Welterweight #6; score 120.0
Steve Jennum,steve_jennum,public-search,auto target: top10 men Unknown #8; score 120.0
Stipe Miocic,stipemiocic,public-search,auto target: top10 men Heavyweight #3; score 120.0
Tatiana Suarez,tatianasuarezufc,public-search,auto target: top10 women Strawweight #2; score 120.0
Tatsuro Taira,t.tatsurooo6,public-search,auto target: top10 men Flyweight #4; score 120.0
Tom Aspinall,tomaspinallofficial,public-search,auto target: top10 men Heavyweight #5; score 120.0
Umar Nurmagomedov,umar_nurmagomedov,public-search,auto target: top10 men Bantamweight #7; score 120.0
Valentina Shevchenko,valentina_shevchenko,public-search,auto target: champion women Flyweight; top10 women Flyweight #1; score 124.0
Waldo Cortes Acosta,waldocortesmma,public-search,auto target: top10 men Heavyweight #6; score 165.0
Yair Rodriguez,panteraufc,public-search,auto target: top10 men Featherweight #7; score 120.0
Yan Xiaonan,xiaonan_yan,public-search,auto target: top10 women Strawweight #6; score 120.0
Yana Santos,yanaasantos,public-search,auto target: top10 women Bantamweight #8; score 120.0
Zhang Weili,zhangweilimma,public-search,auto target: top10 women Flyweight #5; top10 women Strawweight #1; score 120.0
Charles Oliveira,charlesdobronxs,manual,Manual fill for top-10 target after public search confidence skipped.
Derrick Lewis,thebeastufc,manual,Manual fill for top-10 target after public search confidence skipped.
Jiri Prochazka,jirkaprochazka,manual,Manual fill for top-10 target after public search confidence skipped.
Julianna Pena,venezuelanvixen,manual,Manual fill for top-10 target after public search confidence skipped.
Melquizael Costa,melk_cauthymma,manual,Manual fill from public search result after confidence skipped.
Tj Dillashaw,tjdillashaw,manual,Manual fill for top-10 target after public search confidence skipped.
Valentina Shevchenko,bulletvalentina,manual,Manual fill for champion target after public search confidence skipped.
Virna Jandiroba,virnajandiroba,manual,Manual fill from public search result after confidence skipped.
